Id,Category
0,3
1,10
2,0
3,9
4,7
5,3
6,9
7,8
8,0
9,2
10,3
11,0
12,0
13,10
14,5
15,0
16,9
17,4
18,0
19,9
20,3
21,5
22,3
23,3
24,9
25,3
26,4
27,0
28,5
29,0
30,2
31,9
32,3
33,0
34,5
35,2
36,5
37,10
38,3
39,2
40,6
41,3
42,2
43,0
44,5
45,1
46,10
47,0
48,0
49,9
50,10
51,1
52,3
53,3
54,0
55,8
56,0
57,9
58,6
59,0
60,5
61,8
62,3
63,3
64,10
65,8
66,3
67,9
68,4
69,3
70,0
71,5
72,5
73,8
74,5
75,7
76,0
77,3
78,9
79,9
80,0
81,0
82,9
83,8
84,0
85,0
86,4
87,4
88,2
89,9
90,5
91,0
92,0
93,9
94,0
95,6
96,3
97,2
98,6
99,10
100,0
101,2
102,8
103,2
104,0
105,7
106,6
107,5
108,9
109,3
110,5
111,5
112,0
113,3
114,9
115,0
116,9
117,0
118,9
119,0
120,0
121,5
122,0
123,5
124,2
125,0
126,5
127,8
128,10
129,9
130,5
131,0
132,3
133,0
134,0
135,3
136,0
137,10
138,3
139,0
140,2
141,0
142,2
143,5
144,1
145,0
146,9
147,5
148,0
149,5
150,5
151,4
152,9
153,0
154,3
155,2
156,3
157,8
158,8
159,2
160,5
161,2
162,5
163,5
164,8
165,0
166,5
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,9
175,2
176,2
177,10
178,8
179,0
180,0
181,8
182,9
183,0
184,3
185,9
186,0
187,0
188,0
189,4
190,3
191,3
192,3
193,0
194,0
195,0
196,8
197,0
198,0
199,0
200,9
201,8
202,5
203,6
204,0
205,0
206,0
207,9
208,5
209,4
210,0
211,5
212,2
213,2
214,2
215,0
216,3
217,0
218,9
219,0
220,5
221,2
222,2
223,6
224,9
225,5
226,9
227,9
228,6
229,3
230,0
231,2
232,0
233,0
234,0
235,9
236,0
237,10
238,0
239,6
240,0
241,0
242,8
243,4
244,2
245,5
246,0
247,9
248,10
249,5
250,9
251,3
252,3
253,3
254,5
255,0
256,0
257,9
258,0
259,0
260,8
261,8
262,0
263,0
264,5
265,9
266,1
267,0
268,0
269,9
270,4
271,3
272,3
273,0
274,0
275,0
276,9
277,2
278,0
279,9
280,9
281,8
282,2
283,0
284,3
285,0
286,2
287,4
288,0
289,10
290,9
291,0
292,8
293,8
294,0
295,7
296,0
297,0
298,5
299,5
300,8
301,9
302,0
303,1
304,0
305,10
306,2
307,0
308,9
309,3
310,0
311,0
312,2
313,8
314,8
315,0
316,7
317,0
318,5
319,9
320,3
321,2
322,5
323,0
324,4
325,0
326,5
327,6
328,10
329,0
330,3
331,0
332,0
333,9
334,0
335,2
336,3
337,3
338,5
339,5
340,9
341,7
342,5
343,3
344,3
345,0
346,0
347,6
348,0
349,9
350,5
351,3
352,6
353,2
354,7
355,2
356,0
357,10
358,8
359,4
360,0
361,5
362,10
363,0
364,8
365,5
366,4
367,0
368,2
369,0
370,9
371,0
372,0
373,4
374,3
375,0
376,9
377,9
378,8
379,5
380,10
381,6
382,0
383,2
384,0
385,0
386,0
387,5
388,10
389,0
390,0
391,0
392,2
393,8
394,0
395,0
396,8
397,8
398,8
399,9
400,9
401,3
402,9
403,9
404,0
405,3
406,3
407,5
408,5
409,4
410,9
411,0
412,0
413,3
414,3
415,0
416,0
417,4
418,0
419,8
420,5
421,2
422,5
423,2
424,3
425,2
426,3
427,9
428,9
429,2
430,5
431,0
432,0
433,8
434,0
435,2
436,8
437,3
438,3
439,3
440,10
441,4
442,3
443,0
444,5
445,3
446,0
447,2
448,0
449,2
450,4
451,9
452,0
453,3
454,6
455,6
456,5
457,0
458,8
459,6
460,3
461,9
462,10
463,4
464,3
465,4
466,6
467,0
468,0
469,0
470,5
471,0
472,8
473,5
474,9
475,0
476,7
477,2
478,0
479,7
480,5
481,0
482,3
483,3
484,10
485,0
486,8
487,9
488,5
489,9
490,3
491,0
492,7
493,8
494,5
495,2
496,8
497,5
498,3
499,10
500,0
501,3
502,5
503,7
504,0
505,7
506,0
507,8
508,10
509,10
510,2
511,6
512,9
513,4
514,0
515,2
516,9
517,9
518,5
519,0
520,2
521,3
522,7
523,3
524,5
525,3
526,9
527,3
528,7
529,0
530,4
531,2
532,0
533,6
534,7
535,10
536,3
537,0
538,8
539,5
540,2
541,2
542,3
543,0
544,9
545,8
546,0
547,5
548,3
549,3
550,2
551,8
552,2
553,0
554,4
555,8
556,2
557,0
558,9
559,2
560,3
561,3
562,0
563,8
564,0
565,4
566,5
567,3
568,5
569,3
570,5
571,5
572,3
573,5
574,8
575,0
576,8
577,0
578,0
579,0
580,9
581,5
582,5
583,9
584,0
585,7
586,5
587,0
588,7
589,5
590,0
591,0
592,4
593,5
594,3
595,9
596,0
597,0
598,4
599,4
600,5
601,3
602,0
603,6
604,0
605,9
606,9
607,0
608,3
609,3
610,5
611,3
612,8
613,0
614,5
615,10
616,8
617,9
618,0
619,9
620,7
621,0
622,4
623,5
624,0
625,0
626,0
627,8
628,3
629,6
630,0
631,0
632,2
633,2
634,9
635,3
636,9
637,3
638,5
639,0
640,10
641,0
642,2
643,2
644,3
645,0
646,0
647,5
648,5
649,0
650,0
651,10
652,8
653,5
654,0
655,5
656,5
657,5
658,8
659,0
660,8
661,6
662,0
663,9
664,9
665,2
666,0
667,0
668,9
669,0
670,0
671,9
672,0
673,0
674,5
675,0
676,3
677,2
678,5
679,2
680,2
681,0
682,5
683,8
684,0
685,0
686,0
687,0
688,3
689,6
690,2
691,9
692,3
693,5
694,0
695,3
696,7
697,8
698,0
699,3
700,0
701,3
702,10
703,0
704,0
705,10
706,8
707,0
708,5
709,9
710,8
711,8
712,6
713,9
714,7
715,4
716,0
717,5
718,0
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,3
729,2
730,8
731,0
732,2
733,5
734,4
735,3
736,3
737,0
738,0
739,6
740,3
741,0
742,0
743,3
744,0
745,0
746,2
747,2
748,6
749,8
750,0
751,2
752,0
753,5
754,8
755,9
756,8
757,10
758,9
759,0
760,2
761,0
762,0
763,5
764,3
765,3
766,0
767,9
768,5
769,10
770,0
771,4
772,0
773,5
774,3
775,0
776,8
777,5
778,5
779,0
780,4
